Neighbourhood Cleansed,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Amenities,Price,Guests Included,Extra People,Price_log
el Parc i la Llacuna del Poblenou,Camper/RV,Entire home/apt,4,1.0,0.0,2.0,Real Bed,"TV,Cable TV,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Laptop friendly workspace",48.0,2,20,3.8918202981106265
el Camp d'en Grassot i Gràcia Nova,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,"Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Heating,Washer,First aid kit,Essentials,Shampoo,24-hour check-in,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",55.0,1,15,4.02535169073515
De Baarsjes - Oud-West,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Heating,Family/kid friendly,Smoke detector,Fire extinguisher,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",97.0,2,25,4.584967478670572
Zuid,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"TV,Cable TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Pets live on this property,Dog(s),Buzzer/wireless intercom,Heating,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron",100.0,1,20,4.61512051684126
De Baarsjes - Oud-West,House,Entire home/apt,5,1.5,3.0,5.0,Real Bed,"TV,Wireless Internet,Kitchen,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Lockbox",220.0,2,30,5.3981627015177525
Batignolles-Monceau,Apartment,Entire home/apt,6,1.0,1.0,3.0,Real Bed,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Breakfast,Elevator in building,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",73.0,2,10,4.304065093204169
Alcúdia,Apartment,Entire home/apt,5,1.0,2.0,5.0,Real Bed,"TV,Wireless Internet,Air conditioning,Pool,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Safety card,Fire extinguisher,Essentials,24-hour check-in,Hangers,Hair dryer,Iron",115.0,1,0,4.7535901911063645
Niño Jesús,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Kitchen,Heating,Essentials,Hair dryer,Iron",28.0,1,5,3.367295829986474
Recoletos,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,translation missing: en.hosting_amenity_49",58.0,1,0,4.07753744390572
Recoletos,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Laptop friendly workspace",70.0,2,15,4.2626798770413155
Recoletos,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Iron,Laptop friendly workspace",70.0,1,10,4.2626798770413155
Recoletos,Other,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"Internet,Wireless Internet,Air conditioning,Kitchen,Breakfast,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",108.0,3,15,4.6913478822291435
Goya,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",60.0,2,15,4.110873864173311
Goya,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"TV,Cable TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Elevator in building,Heating,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,Private entrance",42.0,1,0,3.7612001156935624
Goya,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",160.0,4,10,5.081404364984463
Goya,Loft,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"TV,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",185.0,3,0,5.225746673713202
Goya,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,"TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Hangers,Laptop friendly workspace",99.0,1,0,4.605170185988092
Goya,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,"TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",80.0,2,5,4.394449154672439
Fuente del Berro,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Elevator in building,Heating,Family/kid friendly,Fire extinguisher,Hangers,Hair dryer,Iron",39.0,1,0,3.6888794541139363
Guindalera,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"Wireless Internet,Kitchen,Essentials,Shampoo,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",18.0,1,7,2.9444389791664403
Prosperidad,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Iron,Laptop friendly workspace",70.0,4,10,4.2626798770413155
Ciudad Jardín,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49",65.0,1,0,4.189654742026425
Ciudad Jardín,Apartment,Entire home/apt,6,1.5,3.0,6.0,Real Bed,"TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Essentials,Hangers,Iron,Laptop friendly workspace",120.0,4,15,4.795790545596741
Ciudad Jardín,Apartment,Entire home/apt,1,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Kitchen,Heating,Washer,First aid kit,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",37.0,1,0,3.6375861597263857
Ciudad Jardín,Apartment,Entire home/apt,7,3.0,3.0,5.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",136.0,4,20,4.919980925828125
Hispanoamérica,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Pool,Kitchen,Free parking on premises,Breakfast,Elevator in building,Heating,Washer,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",75.0,1,0,4.330733340286331
Hispanoamérica,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"Wireless Internet,Elevator in building,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",33.0,1,0,3.5263605246161616
Nueva España,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,"TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Smoking allowed,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",60.0,1,0,4.110873864173311
Castilla,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Hangers,Iron",80.0,1,25,4.394449154672439
Castilla,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Doorman Entry",50.0,2,8,3.9318256327243257
Bellas Vistas,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers",17.0,1,0,2.8903717578961645
Bellas Vistas,Apartment,Private room,1,2.0,1.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Washer",22.0,1,15,3.1354942159291497
Cuatro Caminos,Other,Private room,2,1.0,1.0,2.0,Real Bed,"TV,Cable TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Doorman,Breakfast,Heating,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo",40.0,1,20,3.713572066704308
Cuatro Caminos,Condominium,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",100.0,1,0,4.61512051684126
Puerta Bonita,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"Wireless Internet,Heating,Essentials,Shampoo",23.0,1,0,3.1780538303479458
Orcasur,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,"Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Breakfast,Elevator in building,Heating,Suitable for events,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",55.0,1,0,4.02535169073515
San Fermín,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Kitchen,Elevator in building,Heating,Washer,Essentials,Shampoo,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",12.0,1,9,2.5649493574615367
San Fermín,House,Private room,1,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Kitchen,Free parking on premises,Smoking allowed,Pets live on this property,Heating,Family/kid friendly,First aid kit,Essentials,Shampoo",18.0,1,5,2.9444389791664403
San Fermín,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"Wireless Internet,Pool,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Hangers,Iron",15.0,1,20,2.772588722239781
San Fermín,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,"Internet,Wireless Internet,Kitchen,Pets allowed,Heating,Family/kid friendly,Washer,Essentials,Hangers,Iron",80.0,1,0,4.394449154672439
San Fermín,House,Entire home/apt,3,1.0,2.0,2.0,Real Bed,"TV,Wireless Internet,Kitchen,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",50.0,2,10,3.9318256327243257
Almendrales,House,Private room,2,1.0,1.0,1.0,Real Bed,,35.0,1,0,3.58351893845611
Almendrales,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50",23.0,1,6,3.1780538303479458
Moscardó,Apartment,Entire home/apt,8,1.0,2.0,5.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,First aid kit,Safety card,Essentials,Shampoo",120.0,2,10,4.795790545596741
Zofío,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"TV,Cable TV,Wireless Internet,Wheelchair accessible,Kitchen,Free parking on premises,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Iron",25.0,1,15,3.258096538021482
Portazgo,House,Private room,6,2.0,1.0,5.0,Real Bed,"Internet,Wireless Internet,Kitchen,Smoking allowed,Heating,Family/kid friendly,Washer",20.0,1,15,3.044522437723423
Entrevías,Apartment,Private room,4,1.0,1.0,3.0,Real Bed,"Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Lock on bedroom door,translation missing: en.hosting_amenity_50",48.0,2,0,3.8918202981106265
San Diego,Other,Private room,2,2.0,1.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace",40.0,1,0,3.713572066704308
San Diego,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,"TV,Wireless Internet,Kitchen,Breakfast,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",29.0,2,10,3.4011973816621555
San Diego,House,Private room,2,1.0,1.0,1.0,Real Bed,"Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,First aid kit,Safety card,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private living room",35.0,5,10,3.58351893845611
Palomeras Bajas,House,Entire home/apt,3,2.0,3.0,3.0,Real Bed,"TV,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials",79.0,1,0,4.382026634673881
Palomeras Bajas,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Smartlock",55.0,2,10,4.02535169073515
Palomeras Bajas,Other,Private room,2,1.5,1.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Free parking on premises,Pets live on this property,Cat(s),Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",16.0,1,9,2.833213344056216
Media Legua,Apartment,Entire home/apt,8,2.0,3.0,3.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Heating,Family/kid friendly,Washer,Essentials,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",110.0,6,20,4.709530201312334
Fontarrón,Apartment,Entire home/apt,5,1.0,3.0,4.0,Real Bed,"TV,Wireless Internet,Kitchen,Smoking allowed,Breakfast,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo",80.0,5,15,4.394449154672439
Vinateros,Dorm,Private room,2,,1.0,,Real Bed,,75.0,1,0,4.330733340286331
Almagro,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50",39.0,1,0,3.6888794541139363
Rios Rosas,Apartment,Entire home/apt,8,3.0,4.0,6.0,Real Bed,"TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace",320.0,1,0,5.771441123130016
Fuentelareina,Apartment,Private room,1,2.0,1.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49",23.0,15,15,3.1780538303479458
Peñagrande,Apartment,Private room,2,2.0,1.0,4.0,Real Bed,"Internet,Wireless Internet,Kitchen,Heating,Essentials",25.0,1,0,3.258096538021482
Peñagrande,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Kitchen,Free parking on premises,Breakfast,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials,Shampoo",15.0,1,0,2.772588722239781
Argüelles,Loft,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"TV,Wireless Internet,Kitchen,Heating,Washer,Smoke detector,Essentials,Shampoo,24-hour check-in,Hangers,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",45.0,1,0,3.828641396489095
Argüelles,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,"Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,24-hour check-in,Hangers",60.0,1,0,4.110873864173311
Argüelles,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",55.0,1,0,4.02535169073515
Argüelles,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Safety card,Essentials,Shampoo,Hangers,Laptop friendly workspace",100.0,1,0,4.61512051684126
Argüelles,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Pets allowed,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Fire extinguisher,Essentials,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",59.0,1,0,4.0943445622221
Argüelles,Apartment,Entire home/apt,6,3.0,3.0,5.0,Real Bed,"TV,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",90.0,2,20,4.51085950651685
La Paz,House,Entire home/apt,7,1.0,3.0,6.0,Real Bed,"TV,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron",55.0,5,10,4.02535169073515
Valverde,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Kitchen,Breakfast,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_50",35.0,1,0,3.58351893845611
Casa de Campo,Apartment,Entire home/apt,3,1.0,4.0,3.0,Real Bed,"TV,Kitchen,Heating,Washer,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49",50.0,1,15,3.9318256327243257
Ciudad Universitaria,Apartment,Entire home/apt,3,1.0,1.0,4.0,Real Bed,"TV,Cable TV,Air conditioning,Pool,Kitchen,Smoking allowed,Pets allowed,Doorman,Elevator in building,Heating,Family/kid friendly,Washer",95.0,1,0,4.564348191467836
Ciudad Universitaria,Apartment,Private room,1,2.0,1.0,3.0,Real Bed,"TV,Internet,Wireless Internet,Pool,Kitchen,Elevator in building,Heating,Washer,Essentials",21.0,1,0,3.091042453358316
Numancia,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Dryer,Essentials,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",25.0,1,0,3.258096538021482
Numancia,Loft,Private room,1,1.0,1.0,1.0,Real Bed,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets allowed,Breakfast,Heating,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",22.0,1,0,3.1354942159291497
